actualprice,auto_des,bedrooms,booking_amt,covAreaUnit,flooring_typ,fur_unfur,house_facing,landmarks,locality,main_charges,no_balconies,parking,property_typ,seller_type,sqftprice
25900000,"4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 2.5 Crore(s)",2,100000,2000,"Vitrified,Ceramic Tiles",Furnished,East Facing Property,chikkaballapur,Siddanna Layout Bikasipura,yearly,4,2 Covered,Residential House,agent,5833
49900000,"4 BHK, Villa is available for Sale in Yelahanka, Bangalore for 4.9 Crore(s)",2,100000,3100,"Vitrified,Ceramic Tiles",Furnished,East Facing Property,chikkaballapur,Yelahanka,yearly,4,3 Covered,Villa,agent,5833
43500000,"4 BHK, Villa is available for Sale in Hosur Road, Bangalore for 4.3 Crore(s)",2,100000,3100,"Vitrified,Ceramic Tiles",Furnished,East Facing Property,chikkaballapur,Yelahanka,monthly,4,3 Covered,Villa,builder,5833
19600000,"4 BHK, Villa is available for Sale in Varthur, Bangalore for 1.9 Crore(s)",4,500000,2450,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Varthur,yearly,4,2 Covered,Villa,Agent,5632
35000000,"4 BHK, Villa is available for Sale in Whitefield, Bangalore for 3.5 Crore(s)",4,500000,2450,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Varthur,monthly,4,2 Covered,Villa,builder,5632
49900000,"3 BHK, Villa is available for Sale in Horamavu, Bangalore for 4.9 Crore(s)",4,500000,1800,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Horamavu,quarterly,4,2 Covered,Villa,owner,5632
41000000,"5 BHK, Villa is available for Sale in Electronic City, Bangalore for 4.1 Crore(s)",4,500000,3850,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Electronic City,yearly,4,2 Covered,Villa,contracter,5632
36500000,"4 BHK, Villa is available for Sale in Whitefield, Bangalore for 3.6 Crore(s)",4,500000,3200,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Whitefield,halfyearly,4,"2 Covered, 1 Open",Villa,contracter,5632
14000000,"5 BHK, Villa is available for Sale in Jigani, Bangalore for 1.4 Crore(s)",4,500000,3200,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Whitefield,monthly,4,"2 Covered, 2 Open",Villa,agent,5632
11500000,"3 BHK, Residential House is available for Sale in Block 7th Stage 6th Banashankari, Bangalore for 1.1 Crore(s)",4,500000,3200,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Whitefield,halfyearly,4,"2 Covered, 2 Open",Villa,builder,5632
105000000,"4 BHK, Villa is available for Sale in Whitefield, Bangalore for 10.5 Crore(s)",4,500000,4200,"Ceramic Tiles,Granite,Marble,Vitrified,Wooden",Unfurnished,Near Daiwik Sparsh Villas,Near Daiwik Sparsh Villas,Whitefield,halfyearly,4,2 Covered,Villa,contracter,5632
20577000,"4 BHK, Villa is available for Sale in Rajanukunte, Bangalore for 2.5 Crore(s)",4,1000000,3778,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Rajanukunte,yearly,2,1 Covered,Villa,agent,5632
25500000,"4 BHK, Villa is available for Sale in Varthur, Bangalore for 2.5 Crore(s)",4,1000000,3778,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Rajanukunte,halfyearly,2,2 Covered,Villa,owner,5632
40000000,"5 BHK, Villa is available for Sale in Sarjapura, Bangalore for 4.0 Crore(s)",4,1000000,3778,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Rajanukunte,quarterly,2,1 Covered,Villa,agent,5632
107500000,"4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 10.7 Crore(s)",4,1000000,7800,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Sarjapur Road,halfyearly,2,3 Covered,Villa,builder,5632
17500000,"3 BHK, Residential House is available for Sale in Phase 8th JP Nagar, Bangalore for 1.7 Crore(s)",4,1000000,7800,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Sarjapur Road,halfyearly,2,"1 Covered, 1 Open",Villa,contracter,5632
40000000,"4 BHK, Villa is available for Sale in Devanahalli, Bangalore for 4.0 Crore(s)",4,1000000,4650,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Devanahalli,halfyearly,2,"1 Covered, 2 Open",Villa,builder,5632
26500000,"4 BHK, Villa is available for Sale in Thanisandra, Bangalore for 2.6 Crore(s)",4,1000000,2700,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Thanisandra,monthly,2,1 Covered,Villa,owner,5632
52000000,"3 BHK, Villa is available for Sale in Whitefield, Bangalore for 5.2 Crore(s)",4,1000000,2700,Vitrified,Unfurnished,East Facing Property,The locality is known for its strict security measures and is consider,Thanisandra,quarterly,2,1 Covered,Villa,builder,5632
49500000,"4 BHK, Villa is available for Sale in Devanahalli, Bangalore for 4.9 Crore(s)",4,1000000,3250,"Vitrified,Wooden,Marble",Unfurnished,East Facing Property,IVC Road,Devanahalli,monthly,1,1 Covered,Villa,Agent,11104
36500000,"4 BHK, Villa is available for Sale in Kasavanahalli, Bangalore for 3.6 Crore(s)",4,1000000,4500,"Vitrified,Wooden,Marble",Unfurnished,East Facing Property,IVC Road,Kasavanahalli,quarterly,1,2 Covered,Villa,contracter,11104
24500000,"3 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 2.4 Crore(s)",3,1000000,2100,Vitrified,Unfurnished,East Facing Property,Sarjapur Bus Depot,Sarjapur Road,halfyearly,2,1 Covered,Villa,Agent,7830
57500000,"4 BHK, Villa is available for Sale in Kadugodi, Bangalore for 5.7 Crore(s)",4,2500000,2553,"Marble,Wooden",Unfurnished,East Facing Property,Near Kadugodi Metro Station,Kadugodi,yearly,2,2 Covered,Villa,Agent,16604
38800000,"4 BHK, Villa is available for Sale in Whitefield, Bangalore for 3.8 Crore(s)",4,2500000,2553,"Marble,Wooden",Unfurnished,East Facing Property,Near Kadugodi Metro Station,Kadugodi,halfyearly,2,2 Covered,Villa,contracter,16604
19000000,"3 BHK, Residential House is available for Sale in HBR Layout, Bangalore for 1.9 Crore(s)",4,2500000,2553,"Marble,Wooden",Unfurnished,East Facing Property,Near Kadugodi Metro Station,Kadugodi,halfyearly,2,2 Covered,Villa,builder,16604
58000000,"3 BHK, Residential House is available for Sale in Block 3rd Koramangala, Bangalore for 5.8 Crore(s)",4,2500000,2553,"Marble,Wooden",Unfurnished,East Facing Property,Near Kadugodi Metro Station,Kadugodi,quarterly,2,2 Covered,Villa,owner,16604
4500000,"1 BHK, Residential House is available for Sale in Huskur, Bangalore for 45.0 Lac(s)",4,2500000,350,"Marble,Wooden",Unfurnished,East Facing Property,Near Kadugodi Metro Station,Huskur,halfyearly,2,1 Covered,Residential House,agent,16604
19000000,"3 BHK, Villa is available for Sale in Varthur, Bangalore for 1.9 Crore(s)",4,2500000,2100,"Marble,Wooden",Unfurnished,East Facing Property,Near Kadugodi Metro Station,Varthur,monthly,2,2 Covered,Villa,builder,16604
29000000,"4 BHK, Villa is available for Sale in Sarjapura, Bangalore for 2.9 Crore(s)",4,300000,2540,"Ceramic Tiles,Vitrified,Wooden",Unfurnished,East Facing Property,Near by upcoming Sompura gate Metro Station,Sarjapura,monthly,2,2 Covered,Villa,Agent,8562
45000000,"4 BHK, Villa is available for Sale in Whitefield, Bangalore for 4.5 Crore(s)",4,300000,4000,"Ceramic Tiles,Vitrified,Wooden",Unfurnished,East Facing Property,Near by upcoming Sompura gate Metro Station,Whitefield,halfyearly,2,"2 Covered, 2 Open",Villa,owner,8562
52500000,"5 BHK, Residential House is available for Sale in Stage 2nd Banashankari, Bangalore for 5.2 Crore(s)",4,300000,4000,"Ceramic Tiles,Vitrified,Wooden",Unfurnished,East Facing Property,Near by upcoming Sompura gate Metro Station,Whitefield,monthly,2,"2 Covered, 2 Open",Villa,agent,8562
36500000,"4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 3.6 Crore(s)",4,200000,2700,Marble,Unfurnished,East Facing Property,"Located Near to RMZ Ecospace,",Sarjapur Road,yearly,2,3 Covered,Villa,Agent,12736
60000000,"4 BHK, Villa is available for Sale in Whitefield, Bangalore for 6.0 Crore(s)",4,200000,2700,Marble,Unfurnished,East Facing Property,"Located Near to RMZ Ecospace,",Sarjapur Road,yearly,2,1 Covered,Villa,builder,12736
29100000,"4 BHK, Villa is available for Sale in Dommasandra, Bangalore for 2.9 Crore(s)",4,500000,1860,"Wooden,Ceramic Tiles,Marble",Unfurnished,East Facing Property,"The International School Bangaore, ISME, Decathlon, Columbia Asia",Dommasandra,yearly,2,2 Covered,Villa,Agent,9928
25000000,"4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 2.5 Crore(s)",4,500000,1875,"Wooden,Ceramic Tiles,Marble",Unfurnished,East Facing Property,"The International School Bangaore, ISME, Decathlon, Columbia Asia",Sarjapur Road,yearly,2,2 Covered,Villa,builder,9928
